id_surat,nomor_surat,tanggal_diterima,pengirim,perihal,jenis_surat_id,status,raw_data
SRT-2023,1/ITERA/BAU/2025,2025-06-26,Unit Kerja 13,Reprehenderit sint delectus.,3,Disposisi,{}
SRT-2024,2/ITERA/BAU/2025,2025-07-03,Unit Kerja 14,Soluta eum rem nam quia earum.,2,Selesai,{}
SRT-2025,3/ITERA/BAU/2025,2025-07-21,Fakultas Sains,Eaque nihil totam cupiditate quidem dolore.,3,Disposisi,{}
SRT-2026,4/ITERA/BAU/2024,2024-10-17,Prodi Sains Data,Quaerat quo modi.,5,Selesai,{}
SRT-2027,5/ITERA/BAU/2024,2024-12-30,Jurusan Teknologi Produksi dan Industri,Vero alias placeat fugiat facilis optio corporis impedit.,5,Proses,{}
SRT-2028,6/ITERA/BAU/2024,2024-09-17,Prodi Informatika,In sint labore quibusdam labore.,3,Disposisi,{}
SRT-2029,7/ITERA/BAU/2025,2025-04-21,Unit Kerja 12,Omnis iusto amet ipsam iure saepe.,5,Proses,{}
SRT-2030,8/ITERA/BAU/2024,2024-05-19,Unit Kerja 11,Nemo quaerat saepe voluptatem alias.,5,Disposisi,{}
SRT-2031,9/ITERA/BAU/2025,2025-07-26,Jurusan Sains,Velit alias dolor ratione.,4,Selesai,{}
SRT-2032,10/ITERA/BAU/2024,2024-10-02,Unit Kerja 14,Eius fugit est enim.,2,Selesai,{}
SRT-2033,11/ITERA/BAU/2024,2024-08-27,Rektorat,Aliquid sint minima quo ad sunt.,4,Selesai,{}
SRT-2034,12/ITERA/BAU/2024,2024-01-27,Prodi Informatika,Consequuntur necessitatibus numquam occaecati odit tempore.,5,Selesai,{}
SRT-2035,13/ITERA/BAU/2025,2025-03-12,Fakultas Teknologi Industri,Aut ipsum exercitationem vero.,4,Disposisi,{}
SRT-2036,14/ITERA/BAU/2024,2024-07-16,Jurusan Sains,Adipisci amet ex totam ipsum quia.,3,Proses,{}
SRT-2037,15/ITERA/BAU/2024,2024-10-24,Jurusan Teknologi Produksi dan Industri,Consectetur quae repellat enim.,2,Proses,{}
SRT-2038,16/ITERA/BAU/2025,2025-11-11,Unit Kerja 14,Assumenda iure libero saepe laborum fugit deleniti.,3,Disposisi,{}
SRT-2039,17/ITERA/BAU/2025,2025-07-17,Biro Akademik Umum,Earum corrupti nostrum nesciunt tenetur laudantium commodi repellat.,5,Proses,{}
SRT-2040,18/ITERA/BAU/2025,2025-10-01,Jurusan Sains,Esse cupiditate sint laboriosam.,5,Selesai,{}
SRT-2041,19/ITERA/BAU/2024,2024-02-12,Unit Kerja 14,Sed velit mollitia explicabo quisquam.,3,Selesai,{}
SRT-2042,20/ITERA/BAU/2024,2024-05-16,Jurusan Teknologi Produksi dan Industri,Quod soluta illo iure.,4,Proses,{}
SRT-2043,21/ITERA/BAU/2024,2024-12-27,Prodi Sains Data,Vitae distinctio sunt laudantium.,5,Disposisi,{}
SRT-2044,22/ITERA/BAU/2025,2025-04-19,Jurusan Teknologi Produksi dan Industri,Ipsum tenetur ducimus deleniti eligendi.,1,Proses,{}
SRT-2045,23/ITERA/BAU/2024,2024-11-04,Fakultas Teknologi Industri,Porro ab sint magnam provident iure itaque.,3,Selesai,{}
SRT-2046,24/ITERA/BAU/2024,2024-08-04,Fakultas Sains,Neque aliquid totam.,4,Selesai,{}
SRT-2047,25/ITERA/BAU/2025,2025-05-04,Biro Umum dan Keuangan,Atque labore qui deserunt.,2,Proses,{}
SRT-2048,26/ITERA/BAU/2024,2024-01-20,Unit Kerja 11,Debitis beatae cum aut asperiores aspernatur assumenda.,5,Selesai,{}
SRT-2049,27/ITERA/BAU/2025,2025-08-29,Unit Kerja 12,Neque totam praesentium veniam.,5,Disposisi,{}
SRT-2050,28/ITERA/BAU/2024,2024-04-17,Biro Akademik Umum,Vitae consequuntur quasi optio.,1,Disposisi,{}
SRT-2051,29/ITERA/BAU/2024,2024-08-06,Jurusan Sains,Mollitia dolore minus delectus at.,1,Disposisi,{}
SRT-2052,30/ITERA/BAU/2024,2024-04-27,Unit Kerja 11,Iusto unde facere ut.,2,Disposisi,{}
SRT-2053,31/ITERA/BAU/2024,2024-07-03,Jurusan Teknologi Produksi dan Industri,Laudantium voluptatibus culpa veniam itaque neque.,2,Disposisi,{}
SRT-2054,32/ITERA/BAU/2024,2024-12-01,Unit Kerja 12,Cumque praesentium impedit nulla voluptatum quam aliquam.,5,Selesai,{}
SRT-2055,33/ITERA/BAU/2024,2024-04-15,Fakultas Teknologi Industri,Quas quisquam libero nobis voluptates quos.,2,Selesai,{}
SRT-2056,34/ITERA/BAU/2025,2025-02-11,Fakultas Sains,Aliquam illum sapiente impedit reprehenderit cum culpa.,3,Selesai,{}
SRT-2057,35/ITERA/BAU/2025,2025-07-09,UPT TIK,Nostrum architecto omnis autem cum cumque velit inventore.,4,Selesai,{}
SRT-2058,36/ITERA/BAU/2024,2024-06-09,Biro Akademik Umum,Temporibus magni eaque.,4,Proses,{}
SRT-2059,37/ITERA/BAU/2024,2024-01-21,Prodi Informatika,Voluptates ipsam delectus natus aut.,4,Disposisi,{}
SRT-2060,38/ITERA/BAU/2024,2024-07-23,Fakultas Sains,Ea sequi voluptatibus sint quos nihil.,3,Disposisi,{}
SRT-2061,39/ITERA/BAU/2025,2025-05-12,Unit Kerja 13,Dolorum quod quos odio.,1,Disposisi,{}
SRT-2062,40/ITERA/BAU/2025,2025-08-20,Fakultas Sains,Ipsa aut repudiandae deleniti cum.,3,Selesai,{}
SRT-2063,41/ITERA/BAU/2025,2025-06-23,Jurusan Teknologi Produksi dan Industri,Animi eum optio voluptatibus ab.,4,Disposisi,{}
SRT-2064,42/ITERA/BAU/2024,2024-02-03,Fakultas Sains,Eligendi inventore itaque laboriosam id.,5,Proses,{}
SRT-2065,43/ITERA/BAU/2025,2025-07-22,Unit Kerja 15,Ea vitae esse dolorum nihil temporibus veniam.,3,Selesai,{}
SRT-2066,44/ITERA/BAU/2023,2023-12-23,UPT TIK,Perferendis nemo natus labore.,4,Selesai,{}
SRT-2067,45/ITERA/BAU/2024,2024-03-08,Fakultas Sains,Officiis animi quae fuga repellendus dolorem optio.,5,Selesai,{}
SRT-2068,46/ITERA/BAU/2024,2024-05-01,Prodi Sains Data,Repellat cupiditate non autem.,2,Proses,{}
SRT-2069,47/ITERA/BAU/2024,2024-07-19,Prodi Informatika,Dignissimos non quae corrupti tempora consectetur magnam.,3,Proses,{}
SRT-2070,48/ITERA/BAU/2025,2025-05-27,Jurusan Teknologi Produksi dan Industri,Hic reiciendis delectus deleniti.,4,Selesai,{}
SRT-2071,49/ITERA/BAU/2024,2024-04-22,Prodi Informatika,Asperiores corrupti reiciendis repellendus eveniet officiis.,4,Selesai,{}
SRT-2072,50/ITERA/BAU/2024,2024-04-13,UPT TIK,Et voluptate doloribus non quisquam eaque.,2,Disposisi,{}
SRT-2073,51/ITERA/BAU/2025,2025-02-07,Fakultas Teknologi Industri,Sit optio corrupti nobis odit provident eveniet.,5,Selesai,{}
SRT-2074,52/ITERA/BAU/2024,2024-02-13,Biro Akademik Umum,Cupiditate natus iste facilis esse perspiciatis dolorum temporibus.,4,Proses,{}
SRT-2075,53/ITERA/BAU/2024,2024-02-10,Unit Kerja 11,Ipsa repudiandae optio architecto praesentium consequuntur corrupti incidunt.,2,Disposisi,{}
SRT-2076,54/ITERA/BAU/2025,2025-09-01,Prodi Informatika,Corporis non voluptatibus voluptatem ex dolores itaque nam.,2,Selesai,{}
SRT-2077,55/ITERA/BAU/2025,2025-05-27,Prodi Sains Data,Impedit saepe dicta soluta ea corrupti eos.,2,Disposisi,{}
SRT-2078,56/ITERA/BAU/2024,2024-07-14,UPT TIK,Dicta at reiciendis ullam.,4,Selesai,{}
SRT-2079,57/ITERA/BAU/2025,2025-04-04,Fakultas Teknologi Industri,Fuga ullam delectus magnam.,4,Proses,{}
SRT-2080,58/ITERA/BAU/2024,2024-08-02,UPT TIK,Laborum deserunt fuga amet.,1,Disposisi,{}
SRT-2081,59/ITERA/BAU/2024,2024-12-23,Unit Kerja 11,Deserunt saepe esse deserunt.,1,Disposisi,{}
SRT-2082,60/ITERA/BAU/2025,2025-11-03,Fakultas Sains,Ducimus iste magnam exercitationem voluptate.,1,Proses,{}
SRT-2083,61/ITERA/BAU/2023,2023-12-29,Fakultas Sains,Quo dolores explicabo voluptates blanditiis officia.,4,Selesai,{}
SRT-2084,62/ITERA/BAU/2025,2025-10-22,Unit Kerja 12,Quas ab suscipit molestiae voluptas expedita.,5,Proses,{}
SRT-2085,63/ITERA/BAU/2024,2024-08-19,Fakultas Teknologi Industri,Corporis nulla eveniet dolores modi ducimus.,4,Proses,{}
SRT-2086,64/ITERA/BAU/2024,2024-05-01,Unit Kerja 13,Iusto fuga quae temporibus.,1,Selesai,{}
